Property Type,Acquired,Count,Total Mgt. Expenses,Closed,Sale Price
Single Family,7/14/2014,1,179.64,12/23/2014,1000
Single Family,10/14/2013,1,2064.1,12/22/2014,67500
Single Family,12/2/2013,1,1737.33,12/19/2014,10000
Single Family,10/8/2012,1,734.88,12/19/2014,6000
Duplex,6/2/2014,1,1443.07,12/19/2014,3675
Duplex,10/14/2013,1,2283.86,12/19/2014,1038.58
Condominium,7/26/2010,1,12632.7,12/19/2014,4586.09
Duplex,6/2/2014,1,1916.88,12/18/2014,1000
Single Family,10/14/2013,1,1683.66,12/18/2014,5000
Duplex,12/17/2012,1,2986.26,12/18/2014,5000
Single Family,10/14/2013,1,2979.56,12/18/2014,5000
Duplex,6/2/2014,1,5331.85,12/18/2014,5000
Single Family,6/2/2014,1,676.14,12/18/2014,5000
Duplex,7/26/2010,1,1532.29,12/17/2014,2500
Single Family,8/16/2013,1,777.23,12/16/2014,34000
Multi-Family,7/9/2012,1,5865.22,12/16/2014,41002.36
Duplex,6/2/2014,1,683.41,12/16/2014,3750
Duplex,8/16/2013,1,1090.704,12/16/2014,3041
Single Family,12/2/2013,1,198.82,12/16/2014,6375
Multi-Family,7/9/2012,1,21087.61,12/11/2014,75000
Multi-Family,7/9/2012,1,28166.48,12/11/2014,75000
Multi-Family,7/9/2012,1,15038.55,12/11/2014,75000
Duplex,7/9/2012,1,3465.22,12/11/2014,75000
Single Family,10/14/2013,1,1098.2,12/11/2014,22000
Single Family,12/2/2013,1,5262.28,12/10/2014,4200
Duplex,10/14/2013,1,88828.282,12/9/2014,2500
Duplex,10/14/2013,1,1978.65,12/9/2014,5775
Single Family,6/2/2014,1,429.97,12/8/2014,1000
Single Family,11/14/2011,1,8480.74,12/5/2014,2850
Duplex,10/14/2013,1,1707.9,12/5/2014,76000
Single Family,12/2/2013,1,2203.75,12/5/2014,12000
Single Family,12/2/2013,1,1051.04,12/5/2014,8000
Duplex,8/16/2013,1,381.88,12/4/2014,4000
Duplex,6/2/2014,1,1386,12/4/2014,11250
Single Family,12/2/2013,1,393.87,12/4/2014,20000
Single Family,8/16/2013,1,554.2,12/2/2014,14500
Multi-Family,12/2/2013,1,853.49,11/28/2014,1000
Duplex,1/30/2012,1,15360.38,11/26/2014,1000
Single Family,6/2/2014,1,350.7,11/26/2014,1000
Duplex,6/2/2014,1,763.17,11/26/2014,1000
Duplex,12/2/2013,1,957.41,11/25/2014,1000
Duplex,12/2/2013,1,254.27,11/25/2014,16875
Duplex,6/29/2011,1,10518.27,11/25/2014,1000
Single Family,10/14/2013,1,861.88,11/25/2014,5600
Single Family,7/20/2009,1,6948.64,11/24/2014,2625
Single Family,12/2/2013,1,652.55,11/24/2014,26000
Duplex,10/14/2013,1,706.16,11/21/2014,11100
Single Family,10/14/2013,1,139.06,11/21/2014,1000
Single Family,10/14/2013,1,1096,11/21/2014,1000
Single Family,12/2/2013,1,420.25,11/21/2014,5500
Single Family,6/2/2014,1,346.04,11/19/2014,1
Auto Repair Shop,2/14/2011,1,1084.5,11/18/2014,10000
Duplex,12/2/2013,1,1002909.84,11/14/2014,13200
Single Family,10/14/2013,1,789.42,11/14/2014,7000
Single Family,8/16/2013,1,3976.83,11/13/2014,33000
Duplex,12/17/2012,1,3383.06,11/13/2014,8501
Single Family,10/14/2013,1,771.24,11/13/2014,3500
Single Family,12/17/2012,1,2868.22,11/13/2014,3000
Single Family,9/16/2011,1,10229.79,11/13/2014,2500
Church,10/14/2013,1,1206.44,11/13/2014,10000
Single Family,7/26/2010,1,7379.6,11/13/2014,2546.75
Single Family,8/16/2013,1,246.49,11/12/2014,15000
Duplex,12/2/2013,1,1025.64,11/12/2014,3000
Single Family,10/8/2012,1,1215.77,11/12/2014,2750
Single Family,10/14/2013,1,178.91,11/12/2014,15765.21
Single Family,10/14/2013,1,402.15,11/11/2014,1
Single Family,10/14/2013,1,1178.83,11/11/2014,21000
Condominium,12/2/2013,1,2091.85,11/10/2014,9519
Mixed use,7/20/2009,1,2393.42,11/5/2014,1
Condominium,12/2/2013,1,4705.24,11/5/2014,9190.67
Single Family,12/2/2013,1,454.71,11/4/2014,8025
Duplex,8/16/2013,1,895.66,11/4/2014,7100
Single Family,10/8/2012,1,1687.81,11/4/2014,1
Retail Building,9/16/2011,1,14400.08,11/4/2014,20000
Duplex,8/16/2013,1,381.24,10/31/2014,5500
Single Family,12/2/2013,1,1383.39,10/31/2014,0
Single Family,1/30/2012,1,1693.22,10/31/2014,8000
Single Family,12/2/2013,1,1110.39,10/30/2014,38250
Duplex,10/14/2013,1,2221.88,10/30/2014,13500
Single Family - 2,10/14/2013,1,101067.37,10/30/2014,55076.56
Duplex,10/14/2013,1,2665.59,10/30/2014,6000
Single Family,12/17/2012,1,1891.73,10/30/2014,8500
Single Family,7/26/2010,1,5819.38,10/30/2014,27000
Single Family,10/8/2012,1,1612.06,10/30/2014,7500
Single Family,12/2/2013,1,1136.71,10/29/2014,8000
Single Family,8/16/2013,1,3409.05,10/29/2014,14896.75
Single Family,10/14/2013,1,1012,10/29/2014,1046.75
Single Family,10/14/2013,1,1411.96,10/27/2014,24000
Single Family,10/14/2013,1,1912.05,10/24/2014,5000
Single Family,12/2/2013,1,1005911.86,10/24/2014,13650
Single Family,12/2/2013,1,346.05,10/24/2014,18000
Multi-Family,10/14/2013,1,2526.16,10/23/2014,1
Single Family,12/2/2013,1,1493.82,10/22/2014,5000
Single Family,12/17/2012,1,2610.03,10/22/2014,3000
Single Family,1/30/2012,1,2493.58,10/22/2014,6750
Single Family,8/16/2013,1,1457.84,10/20/2014,10076.56
Duplex,10/14/2013,1,3051.73,10/20/2014,8000
Single Family,11/14/2011,1,1771.9,10/17/2014,50100
Duplex,12/2/2013,1,525.88,10/17/2014,12000
Single Family,12/2/2013,1,928.45,10/15/2014,5475
Single Family,12/2/2013,1,757.59,10/10/2014,9500
Duplex & Single Family,10/8/2012,1,1813.17,10/10/2014,2500
Single Family,8/16/2013,1,149.21,10/10/2014,4160
Single Family,12/2/2013,1,174.12,10/10/2014,9375
Duplex,7/9/2012,1,6827.25,10/9/2014,18000
Single Family,12/2/2013,1,700.74,10/9/2014,12000
Single Family,10/14/2013,1,3086.53,10/9/2014,11250
Single Family,10/14/2013,1,534.5,10/9/2014,4171.75
Single Family,12/2/2013,1,1745.38,10/9/2014,7600
Duplex & Single Family,12/17/2012,1,13671.52,10/8/2014,9123.31
Single Family,8/16/2013,1,5929.78,10/7/2014,3600
Duplex,10/14/2013,1,2693.22,10/6/2014,25000
Single Family,10/14/2013,1,3690.84,10/3/2014,4500
Duplex,10/14/2013,1,874.72,10/3/2014,4275
Duplex,8/16/2013,1,888.55,10/3/2014,2700
Single Family,1/30/2012,1,5247.44,10/1/2014,3150
Single Family,12/2/2013,1,706.84,10/1/2014,5047.75
Duplex,8/16/2013,1,289.85,9/30/2014,1
Duplex,11/14/2011,1,438.9,9/30/2014,1
Single Family,12/17/2012,1,662.25,9/30/2014,1
Duplex,12/2/2013,1,1492.84,9/30/2014,1
Single Family,9/16/2011,1,1326.15,9/30/2014,1
Single Family,10/8/2012,1,1555.37,9/30/2014,1
Duplex,10/8/2012,1,1549.96,9/30/2014,1
Duplex,1/30/2012,1,1633.02,9/30/2014,1
Duplex,8/16/2013,1,75.94,9/30/2014,1
Duplex,12/2/2013,1,50.82,9/30/2014,1
Single Family,12/2/2013,1,196.09,9/30/2014,1
Duplex,7/9/2012,1,1561.11,9/30/2014,1
Duplex,12/17/2012,1,1113.31,9/30/2014,1
Single Family,7/20/2009,1,744.23,9/30/2014,1
Single Family,12/17/2012,1,1386.63,9/30/2014,1
Duplex,11/14/2011,1,547.47,9/30/2014,1
Duplex,7/9/2012,1,1102.2,9/30/2014,1
Single Family,7/26/2010,1,613.46,9/30/2014,1
Single Family,1/30/2012,1,1682.15,9/30/2014,1
Duplex,12/17/2012,1,3485.79,9/30/2014,1
Duplex,1/30/2012,1,5717.55,9/30/2014,1
Duplex,12/2/2013,1,608.34,9/30/2014,1
Single Family,12/2/2013,1,940.11,9/30/2014,1
Single Family,7/26/2010,1,474.59,9/30/2014,1
Duplex,10/8/2012,1,1361.11,9/30/2014,1
Duplex,12/2/2013,1,786.66,9/30/2014,1
Single Family,10/8/2012,1,871.36,9/30/2014,1
Single Family,11/14/2011,1,862.71,9/30/2014,1
Single Family,9/16/2011,1,3508.71,9/30/2014,1
Multi-Family,1/30/2012,1,1634.33,9/30/2014,1
Duplex,8/16/2013,1,4299.96,9/30/2014,1000
Single Family,7/9/2012,1,2042.68,9/30/2014,1000
Duplex,10/14/2013,1,2002456.8,9/29/2014,23760
Duplex,12/17/2012,1,1390.1,9/29/2014,1000
Single Family,7/9/2012,1,1069.53,9/29/2014,1000
Single Family,10/14/2013,1,1621.37,9/29/2014,15603.1
Single Family,8/16/2013,1,1689.76,9/29/2014,1000
Single Family,10/8/2012,1,2462,9/26/2014,2500
Duplex,8/16/2013,1,841.37,9/26/2014,2250
Single Family,8/16/2013,1,232.68,9/26/2014,3675
Single Family,10/8/2012,1,2069.36,9/25/2014,16646.75
Condominium,10/14/2013,1,3176.04,9/24/2014,52563.24
Single Family,12/2/2013,1,1207.63,9/23/2014,1000
Single Family,10/14/2013,1,1493.45,9/23/2014,11000
Single Family,12/2/2013,1,1906.92,9/22/2014,7500
Warehouse,7/20/2009,1,624.22,9/19/2014,55001
Single Family,10/14/2013,1,2802.48,9/19/2014,16575
Condominium,10/14/2013,1,1017.96,9/19/2014,13500
Single Family,8/16/2013,1,1744.17,9/18/2014,3000
Single Family,8/16/2013,1,178.97,9/17/2014,1
Single Family,10/14/2013,1,752.86,9/17/2014,1
Duplex,8/16/2013,1,152.88,9/17/2014,1
Single Family,9/16/2011,1,2873.67,9/17/2014,1
Duplex,10/14/2013,1,451.65,9/17/2014,1
Single Family - 2,10/8/2012,1,1605.49,9/17/2014,1
Single Family,12/2/2013,1,50.574,9/17/2014,1
Duplex,12/17/2012,1,797.66,9/17/2014,1
Church,10/8/2012,1,596.87,9/17/2014,1
Duplex,3/1/2010,1,456.44,9/17/2014,1
Duplex,10/8/2012,1,1519.46,9/17/2014,1
Duplex,7/26/2010,1,1158.97,9/17/2014,1
Duplex,7/9/2012,1,1803.45,9/17/2014,1
Single Family,12/17/2012,1,1483.87,9/17/2014,1
Duplex,8/16/2013,1,111.42,9/17/2014,1
Single Family,10/14/2013,1,617.26,9/17/2014,1
Single Family - 2,10/14/2013,1,1316.58,9/17/2014,1
Single Family,10/14/2013,1,109.75,9/17/2014,1
Duplex,11/14/2011,1,3563.604,9/17/2014,1
Single Family,9/16/2011,1,801.26,9/17/2014,1
Single Family,10/8/2012,1,1842.07,9/17/2014,1
Duplex,10/8/2012,1,2230.31,9/17/2014,1
Duplex,10/8/2012,1,2916.6,9/17/2014,1
Single Family,8/16/2013,1,398.38,9/17/2014,14892
Single Family,10/14/2013,1,617.64,9/16/2014,14000
Duplex,10/14/2013,1,397.72,9/12/2014,10330
Duplex,12/17/2012,1,803.14,9/12/2014,1000
Single Family,10/8/2012,1,1823.89,9/12/2014,1000.02
Duplex,7/9/2012,1,6275.6,9/12/2014,4000
Multi-Family,8/16/2013,1,1303.91,9/12/2014,21000
Single Family,7/26/2010,1,4530.39,9/12/2014,2500
Single Family,10/14/2013,1,1278.95,9/12/2014,5000
Single Family,12/2/2013,1,3236.47,9/12/2014,5000
Single Family,10/14/2013,1,140.21,9/11/2014,5250
Duplex,10/14/2013,1,3350.88,9/10/2014,11025
Duplex,8/16/2013,1,2183.2,9/10/2014,1000
Single Family,10/14/2013,1,183.93,9/9/2014,10000
Duplex,10/14/2013,1,3361.89,9/8/2014,25000
Single Family,10/14/2013,1,2179.69,9/8/2014,58000
Duplex,10/14/2013,1,1952.91,9/5/2014,3000
Single Family,12/2/2013,1,7839.05,9/5/2014,1
Single Family,10/14/2013,1,419.91,9/5/2014,33000
Single Family,12/2/2013,1,2360.08,9/5/2014,1000
Duplex,10/14/2013,1,1867.85,9/5/2014,12000
Single Family,12/2/2013,1,1448.11,9/5/2014,1000
Condominium,12/2/2013,1,3699.66,9/5/2014,10277.33
Single Family,7/20/2009,1,3357.64,8/29/2014,5000
Single Family,10/14/2013,1,2010.54,8/29/2014,5000
Single Family,10/14/2013,1,2643.77,8/29/2014,5000
Single Family,12/2/2013,1,123.21,8/29/2014,5000
Single Family,10/14/2013,1,1686.74,8/29/2014,5000
Single Family,10/14/2013,1,2188.87,8/26/2014,1000
Single Family,9/16/2011,1,5492.44,8/25/2014,5000
Single Family,10/14/2013,1,896.41,8/25/2014,4350
Duplex,12/2/2013,1,618.66,8/22/2014,11000
Single Family,10/8/2012,1,3657.79,8/22/2014,2225
Single Family,10/14/2013,1,712.28,8/22/2014,10040.31
Restaurant,7/9/2012,1,1280.57,8/20/2014,10000
Single Family,8/16/2013,1,623.32,8/20/2014,1000
Single Family,12/2/2013,1,77.82,8/18/2014,7500
Single Family,1/30/2012,1,3677.6,8/14/2014,42500
Single Family,12/2/2013,1,350.28,8/14/2014,11000
Single Family,10/14/2013,1,195.29,8/14/2014,5000
Single Family,10/14/2013,1,226.47,8/13/2014,1000
Single Family,12/2/2013,1,266.94,8/13/2014,1000
Single Family,10/14/2013,1,2213.02,8/13/2014,1000
Single Family,12/2/2013,1,79.42,8/13/2014,1000
Single Family,12/2/2013,1,1051.65,8/13/2014,16875
Duplex,10/14/2013,1,1871.32,8/11/2014,5000
Duplex,9/16/2011,1,5317.94,8/11/2014,1000
Single Family,7/20/2009,1,923.3,8/8/2014,1000
Condominium,8/16/2013,1,2363.51,8/8/2014,1000
Condominium,12/2/2013,1,3833.69,8/8/2014,1000
Auto Repair Shop,7/9/2012,1,2156.47,8/5/2014,1
Single Family,8/16/2013,1,496.16,8/5/2014,4950
Duplex,8/16/2013,1,2570.36,8/4/2014,10800
Single Family,10/14/2013,1,8262.95,8/1/2014,5000
Duplex,10/14/2013,1,9064.45,7/31/2014,23000
Condominium,7/9/2012,1,10214.17,7/31/2014,1
Multi-Family,8/16/2013,1,9100.89,7/31/2014,2625
Single Family,10/14/2013,1,3402.57,7/31/2014,12000
Single Family,10/14/2013,1,1372.39,7/30/2014,2625
Duplex,10/8/2012,1,5645.88,7/30/2014,4600
Duplex,8/16/2013,1,3782.15,7/28/2014,1000
Single Family,12/2/2013,1,205.29,7/25/2014,1000
Single Family,6/29/2011,1,1590.79,7/25/2014,1000
Single Family,12/2/2013,1,99.9,7/24/2014,1000
Single Family,10/14/2013,1,120.43,7/24/2014,1000
Single Family,10/14/2013,1,210.17,7/22/2014,1
Single Family,12/2/2013,1,707.22,7/22/2014,1
Duplex,10/14/2013,1,490.25,7/18/2014,11000
Duplex,8/16/2013,1,1071.88,7/18/2014,3750
Single Family,10/14/2013,1,1870.42,7/14/2014,15750
Single Family,10/14/2013,1,281.55,7/11/2014,11500
Single Family,10/8/2012,1,622.02,7/11/2014,1000
Single Family,8/16/2013,1,551.17,7/11/2014,8250
Duplex & Single Family,10/14/2013,1,3279.35,7/10/2014,2625
Condominium,10/14/2013,1,1410.22,7/10/2014,8649.03
Single Family,10/8/2012,1,1551.08,7/8/2014,3500
Single Family,10/14/2013,1,140.95,7/8/2014,8700
Duplex,10/8/2012,1,5937.57,7/7/2014,14500
Single Family,10/14/2013,1,1640.32,7/2/2014,7000
Duplex,1/30/2012,1,3030.11,7/1/2014,12100
Duplex,8/16/2013,1,1816.44,6/30/2014,2650
Single Family,10/14/2013,1,1722.51,6/27/2014,13000
Single Family,10/14/2013,1,5569.38,6/27/2014,5000
Single Family,8/16/2013,1,589.56,6/27/2014,12000
Single Family,10/14/2013,1,679.64,6/26/2014,9000
Single Family,10/14/2013,1,833.99,6/25/2014,9814.04
Single Family,8/16/2013,1,988.87,6/20/2014,6000
Condominium,12/17/2012,1,18697.54,6/19/2014,10500
Single Family,7/9/2012,1,4911.77,6/18/2014,3900
Duplex,11/14/2011,1,2626.57,6/13/2014,3750
Duplex,11/14/2011,1,915.73,6/13/2014,3750
Duplex,6/29/2011,1,1053.19,6/13/2014,3975
Single Family,8/16/2013,1,139.22,6/13/2014,3300
Condominium,8/16/2013,1,2389.35,6/13/2014,32000
Duplex,7/26/2010,1,11138.32,6/12/2014,5000
Single Family,10/14/2013,1,981.57,6/12/2014,1000
Single Family,10/8/2012,1,1517.19,6/11/2014,3300
Single Family,10/14/2013,1,1210.26,6/9/2014,1007.99
Single Family,8/16/2013,1,407.77,6/6/2014,9000
Duplex,7/26/2010,1,3841.64,6/6/2014,8000
Single Family,6/29/2011,1,2083.24,6/6/2014,5625
Single Family,12/17/2012,1,797.98,6/6/2014,5000
Single Family,7/9/2012,1,1388.66,6/6/2014,5000
Single Family,7/20/2009,1,397.46,6/6/2014,5000
Single Family,7/9/2012,1,4364.43,6/6/2014,9075
Single Family,7/9/2012,1,2182.72,6/6/2014,5000
Single Family,7/26/2010,1,1762.9,6/3/2014,1000
Duplex,10/14/2013,1,2458.14,5/28/2014,15000
Duplex & Single Family,8/16/2013,1,1221.3,5/27/2014,13500
Single Family,10/14/2013,1,273.67,5/23/2014,3314.04
Single Family,8/16/2013,1,692.98,5/23/2014,5280
Single Family,12/2/2013,1,9423.02,5/22/2014,12500
Single Family,11/14/2011,1,3939.29,5/22/2014,1000
Duplex,10/14/2013,1,374,5/21/2014,6400
Duplex,8/16/2013,1,1474.07,5/21/2014,3500
Single Family,8/16/2013,1,5951.18,5/21/2014,1019.33
Single Family,8/16/2013,1,1503.89,5/21/2014,1026.45
Single Family,7/26/2010,1,265.38,5/21/2014,1000
Duplex,10/14/2013,1,637.2,5/21/2014,23500
Multi-Family,10/8/2012,1,1697.51,5/20/2014,1000
Single Family,12/17/2012,1,1405.98,5/16/2014,51000
Duplex,6/29/2011,1,1598.02,5/14/2014,1000
Single Family,10/14/2013,1,2366.93,5/14/2014,8000
Condominium,10/14/2013,1,1658.99,5/14/2014,1120.38
Condominium,12/2/2013,1,2436.94,5/14/2014,1120.38
Single Family,10/14/2013,1,749.32,5/12/2014,4800
Single Family,7/26/2010,1,679.1,5/9/2014,3000
Single Family,12/17/2012,1,3884.31,5/9/2014,8120
Single Family,8/16/2013,1,122.19,5/9/2014,5700
Single Family,7/9/2012,1,3920.17,5/9/2014,20000
Single Family - 2,8/16/2013,1,1739.95,5/9/2014,13000
Single Family,11/14/2011,1,804.04,5/9/2014,2900
Single Family,7/9/2012,1,3995.37,5/8/2014,18000
Single Family,12/17/2012,1,2088.25,5/7/2014,3500
Single Family,8/16/2013,1,1454.7,5/7/2014,3500
Duplex,12/17/2012,1,898.17,5/2/2014,1000
Duplex,8/16/2013,1,217.54,5/2/2014,16000
Single Family,8/16/2013,1,544.29,5/2/2014,15750
Single Family,12/17/2012,1,1150.71,4/28/2014,6500
Single Family,10/8/2012,1,736.41,4/25/2014,5012.54
Single Family,11/14/2011,1,2114.1,4/25/2014,5000
Single Family,12/17/2012,1,1416.23,4/25/2014,5012.64
Single Family,7/9/2012,1,1246.36,4/25/2014,5000
Single Family,10/8/2012,1,2019.48,4/25/2014,5000
Single Family,7/9/2012,1,8295.83,4/25/2014,4050
Single Family,10/14/2013,1,1898.49,4/24/2014,18000
Duplex,8/16/2013,1,59,4/24/2014,1000
Duplex,10/8/2012,1,3123.69,4/24/2014,1000
Duplex,12/17/2012,1,1304.18,4/22/2014,1000
Duplex,10/8/2012,1,1865.51,4/22/2014,1000
Duplex,8/16/2013,1,320.86,4/22/2014,1000
Single Family,7/9/2012,1,1092.5,4/22/2014,5250
Single Family,1/30/2012,1,2034.67,4/17/2014,8250
Single Family,8/16/2013,1,268.46,4/16/2014,1
Single Family,8/16/2013,1,245.68,4/16/2014,1
Duplex,8/16/2013,1,2438.33,4/14/2014,4900
Single Family,8/16/2013,1,137.89,4/14/2014,8914.45
Duplex,10/8/2012,1,6738.89,4/11/2014,4000
Single Family,8/16/2013,1,4372.26,4/11/2014,9000
Duplex,8/16/2013,1,800.57,4/11/2014,3000
Single Family,12/17/2012,1,15689.07,4/10/2014,1000
Duplex,8/16/2013,1,475.3,4/10/2014,1000
Duplex,1/30/2012,1,9996.74,4/9/2014,5000
Single Family,12/17/2012,1,7827.73,4/4/2014,40000
Single Family,8/16/2013,1,243.33,4/4/2014,8000
Single Family,12/17/2012,1,1110.7,4/4/2014,9500
Duplex,8/16/2013,1,203.65,4/2/2014,13500
Single Family,7/9/2012,1,7046.53,4/1/2014,15000
Condominium,10/8/2012,1,5256.76,4/1/2014,8100
Condominium,7/9/2012,1,7380.12,3/31/2014,1005.48
Duplex,10/8/2012,1,6385.93,3/28/2014,3750
Single Family,7/20/2009,1,5349.05,3/28/2014,3400
Single Family,6/29/2011,1,2736.73,3/28/2014,6150
Single Family,1/30/2012,1,4095.09,3/27/2014,3100
Single Family,7/26/2010,1,675.63,3/26/2014,2300
Duplex,10/8/2012,1,1550.52,3/25/2014,7000
Duplex,7/9/2012,1,1996.71,3/24/2014,3000
Single Family,8/16/2013,1,2597.63,3/21/2014,4500
Duplex,11/14/2011,1,1438.73,3/21/2014,5000
Single Family,8/16/2013,1,265.1,3/21/2014,1000
Duplex,8/16/2013,1,6331.47,3/20/2014,18000
Single Family,12/17/2012,1,5781.8,3/20/2014,9375
Duplex,10/8/2012,1,5681.11,3/17/2014,5000
